user_id,conversion_stage,conversion,plan_opted,plan_duration,price
4090,2024-05-19,TRUE,Pro,Quarterly,70
5210,2023-08-12,TRUE,Pro Plus,Monthly,50
8285,2024-01-30,TRUE,Pro,Monthly,40
1502,2024-03-02,TRUE,Basic,Monthly,25
3953,2024-06-28,TRUE,Pro Plus,Monthly,50
5876,2024-07-08,TRUE,Pro,Monthly,40
2294,2023-04-07,TRUE,Basic,Quarterly,60
3303,2023-06-20,TRUE,Basic,Monthly,25
8772,2024-01-29,TRUE,Pro,Quarterly,70
4122,2024-02-08,TRUE,Basic,Monthly,25
7544,2024-03-08,TRUE,Pro,Monthly,40
3900,2023-09-27,TRUE,Pro,Quarterly,70
7767,2023-12-24,TRUE,Basic,Quarterly,60
6149,2023-09-19,TRUE,Basic,Monthly,25
6681,2024-06-02,TRUE,Basic,Quarterly,60
8606,2023-05-15,TRUE,Basic,Monthly,25
7664,2023-09-19,TRUE,Pro Plus,Monthly,50
4251,2023-12-16,TRUE,Pro,Monthly,40
7370,2023-12-07,TRUE,Basic,Quarterly,60
6269,2023-07-16,TRUE,Pro,Monthly,40
5521,2024-06-15,TRUE,Basic,Monthly,25
4015,2023-07-11,TRUE,Pro,Monthly,40
9222,2024-02-27,TRUE,Pro,Monthly,40
3138,2024-01-30,TRUE,Basic,Quarterly,60
9698,2023-08-07,TRUE,Basic,Monthly,25
4223,2024-04-13,TRUE,Basic,Quarterly,60
9653,2023-08-20,TRUE,Basic,Monthly,25
6259,2024-05-17,TRUE,Basic,Monthly,25
9039,2024-02-24,TRUE,Pro,Quarterly,70
8240,2024-01-30,TRUE,Basic,Monthly,25
9586,2023-09-13,TRUE,Pro Plus,Monthly,50
5615,2024-01-02,TRUE,Pro,Annually,220
6767,2024-02-08,TRUE,Basic,Quarterly,60
1054,2024-08-10,TRUE,Basic,Annually,200
5243,2023-12-17,TRUE,Basic,Monthly,25
3905,2024-01-09,TRUE,Basic,Quarterly,60
4972,2023-11-29,TRUE,Pro Plus,Monthly,50
5185,2023-08-04,TRUE,Pro,Monthly,40
8146,2023-12-20,TRUE,Pro,Quarterly,70
2765,2024-05-01,TRUE,Basic,Monthly,25
1514,2023-09-24,TRUE,Pro,Monthly,40
8549,2023-11-16,TRUE,Basic,Monthly,25
6629,2023-10-21,TRUE,Pro,Quarterly,70
3964,2024-07-22,TRUE,Basic,Quarterly,60
1399,2024-02-14,TRUE,Pro,Monthly,40
3418,2023-11-26,TRUE,Pro,Monthly,40
5969,2024-06-06,TRUE,Basic,Monthly,25
5370,2023-09-03,TRUE,Pro,Monthly,40
5056,2023-11-22,TRUE,Basic,Monthly,25
9020,2023-11-16,TRUE,Basic,Annually,200
6569,2024-04-22,TRUE,Pro Plus,Monthly,50
2448,2024-03-09,TRUE,Basic,Monthly,25
6997,2023-12-09,TRUE,Basic,Monthly,25
4890,2024-06-30,TRUE,Basic,Quarterly,60
4638,2023-12-27,TRUE,Pro,Quarterly,70
9010,2023-03-27,TRUE,Basic,Monthly,25
8827,2023-10-31,TRUE,Basic,Monthly,25
4958,2023-11-27,TRUE,Basic,Monthly,25
7011,2023-12-11,TRUE,Pro Plus,Monthly,50
7760,2024-05-18,TRUE,Basic,Monthly,25
2736,2023-06-12,TRUE,Pro,Monthly,40
2212,2023-11-06,TRUE,Pro Plus,Monthly,50
9726,2023-07-27,TRUE,Pro,Monthly,40
2717,2024-01-19,TRUE,Pro,Annually,220
5439,2024-01-25,TRUE,Pro Plus,Quarterly,80
9416,2024-01-18,TRUE,Pro,Monthly,40
9101,2024-06-11,TRUE,Pro,Quarterly,70
7691,2023-11-18,TRUE,Basic,Quarterly,60
7864,2024-04-08,TRUE,Pro Plus,Quarterly,80
5710,2024-04-27,TRUE,Pro,Quarterly,70
6728,2023-05-26,TRUE,Pro,Quarterly,70
4385,2023-12-19,TRUE,Pro,Monthly,40
7881,2023-11-04,TRUE,Pro,Quarterly,70
7298,2024-03-20,TRUE,Pro,Monthly,40
6098,2023-11-27,TRUE,Pro,Quarterly,70
5374,2024-04-24,TRUE,Pro,Monthly,40
4954,2024-05-29,TRUE,Basic,Quarterly,60
5035,2023-07-04,TRUE,Pro Plus,Quarterly,80
4951,2024-02-20,TRUE,Basic,Monthly,25
1866,2023-08-14,TRUE,Pro Plus,Monthly,50
9228,2023-09-20,TRUE,Pro,Monthly,40
7623,2023-08-17,TRUE,Basic,Quarterly,60
1540,2024-04-17,TRUE,Pro,Quarterly,70
2511,2024-04-28,TRUE,Basic,Annually,200
7668,2024-04-05,TRUE,Basic,Monthly,25
5860,2023-03-06,TRUE,Basic,Quarterly,60
8548,2024-01-15,TRUE,Pro,Quarterly,70
4892,2023-08-04,TRUE,Pro Plus,Monthly,50
1379,2023-09-23,TRUE,Pro,Monthly,40
5461,2023-09-10,TRUE,Basic,Monthly,25
7633,2023-11-19,TRUE,Pro,Annually,220
2536,2024-01-02,TRUE,Basic,Annually,200
6255,2023-10-06,TRUE,Basic,Monthly,25
7517,2024-01-10,TRUE,Pro,Quarterly,70
2941,2023-05-09,TRUE,Pro,Monthly,40
9876,2024-02-25,TRUE,Pro,Quarterly,70
5811,2023-08-30,TRUE,Pro,Monthly,40
9322,2024-03-13,TRUE,Pro,Annually,220
3164,2024-03-11,TRUE,Basic,Quarterly,60
4767,2024-05-16,TRUE,Pro,Monthly,40
4620,2024-04-27,TRUE,Basic,Quarterly,60
2028,2024-02-09,TRUE,Pro,Annually,220
2518,2023-12-03,TRUE,Basic,Monthly,25
6248,2024-03-05,TRUE,Basic,Quarterly,60
1432,2024-02-20,TRUE,Basic,Monthly,25
6714,2024-07-17,TRUE,Pro,Monthly,40
