user_id,date_subscribed,no_newsletters_sent,source,blog_title
2824,2023-07-24,1,Social,Nutrition
9928,2023-02-05,5,Organic Search,Gym Training
6635,2023-08-29,5,Referral,Nutrition
5741,2023-04-09,1,Referral,Gym Training
4598,2023-11-19,1,Email,Nutrition
8517,2023-08-17,1,Direct,Yoga
7916,2023-07-04,4,Direct,Gym Training
2743,2023-02-10,4,Email,Gym Training
6947,2023-04-07,1,Organic Search,Meditation
7932,2023-05-04,1,Social,Fitness
4770,2023-09-21,3,Organic Search,Gym Training
8744,2023-10-19,2,Social,Nutrition
2790,2023-12-04,5,Organic Search,Nutrition
4872,2023-03-11,5,Social,Meditation
4566,2023-05-27,2,Direct,Fitness
5033,2023-09-02,2,Organic Search,Gym Training
5915,2023-04-14,4,Email,Yoga
8179,2023-09-19,1,Email,Meditation
4335,2023-07-20,1,Direct,Meditation
8007,2023-05-13,3,Direct,Gym Training
1653,2023-04-08,4,Organic Search,Meditation
2771,2023-09-05,2,Direct,Nutrition
9785,2023-05-21,3,Organic Search,Nutrition
4114,2023-08-31,2,Organic Search,Yoga
6344,2023-06-10,5,Organic Search,Gym Training
4501,2023-02-23,1,Organic Search,Nutrition
1757,2023-10-20,5,Direct,Diet
9486,2023-09-28,5,Email,Nutrition
8777,2023-03-26,2,Organic Search,Nutrition
3503,2023-10-02,3,Organic Search,Diet
7865,2023-11-02,2,Social,Gym Training
3091,2023-06-15,4,Direct,Gym Training
6529,2023-03-28,2,Organic Search,Gym Training
8758,2023-12-09,2,Direct,Nutrition
4249,2023-11-06,2,Direct,Nutrition
9031,2023-11-07,1,Organic Search,Nutrition
2419,2023-07-22,2,Direct,Nutrition
9464,2023-04-22,1,Email,Nutrition
7046,2023-02-13,5,Email,Nutrition
9779,2023-04-10,2,Direct,Yoga
1893,2023-05-26,2,Direct,Meditation
2213,2023-06-13,5,Direct,Nutrition
8253,2023-01-01,3,Organic Search,Diet
8381,2023-10-28,1,Organic Search,Meditation
2169,2023-01-30,1,Direct,Diet
8078,2023-12-19,5,Social,Nutrition
8700,2023-04-02,2,Direct,Gym Training
2899,2023-06-09,1,Direct,Yoga
8941,2023-12-06,5,Organic Search,Yoga
5781,2023-10-09,4,Organic Search,Fitness
7798,2023-12-06,2,Direct,Fitness
4090,2023-11-15,3,Social,Fitness
8213,2023-03-27,2,Email,Nutrition
5708,2023-03-30,4,Email,Diet
7751,2023-11-25,2,Organic Search,Meditation
9955,2023-01-08,3,Organic Search,Nutrition
7484,2023-08-17,4,Direct,Yoga
1645,2023-10-30,4,Email,Nutrition
5210,2023-06-15,5,Organic Search,Nutrition
5295,2023-12-11,4,Email,Gym Training
5986,2023-03-21,2,Email,Nutrition
8285,2023-10-14,2,Social,Diet
4990,2023-07-16,1,Direct,Fitness
3858,2023-06-23,5,Social,Yoga
6931,2023-11-24,1,Organic Search,Yoga
6277,2023-10-16,2,Referral,Nutrition
2874,2023-06-05,3,Email,Meditation
5176,2023-05-30,2,Direct,Meditation
7929,2023-07-28,5,Social,Meditation
8030,2023-02-21,4,Social,Meditation
1502,2023-08-29,1,Referral,Gym Training
8957,2023-05-24,4,Direct,Meditation
1897,2023-05-25,5,Social,Yoga
1693,2023-10-19,5,Organic Search,Meditation
8538,2023-05-02,4,Direct,Fitness
3754,2023-10-02,4,Direct,Meditation
8354,2023-06-14,4,Direct,Meditation
1932,2023-04-28,2,Referral,Diet
8792,2023-05-29,2,Email,Diet
6543,2023-08-01,3,Social,Gym Training
3317,2023-05-12,4,Direct,Fitness
3953,2023-11-16,4,Organic Search,Meditation
3147,2023-12-18,1,Organic Search,Nutrition
8684,2023-11-15,1,Social,Nutrition
2680,2023-03-27,4,Referral,Meditation
2337,2023-04-04,2,Organic Search,Fitness
3449,2023-09-19,4,Direct,Fitness
5772,2023-11-14,5,Direct,Yoga
1713,2023-12-24,1,Referral,Meditation
8840,2023-01-14,1,Organic Search,Gym Training
4131,2023-09-22,4,Direct,Yoga
2293,2023-04-10,2,Organic Search,Yoga
1939,2023-09-05,3,Direct,Gym Training
7077,2023-10-10,3,Referral,Yoga
8311,2023-07-20,3,Social,Gym Training
5757,2023-10-20,1,Direct,Nutrition
3126,2023-11-16,5,Referral,Nutrition
3981,2023-11-04,2,Direct,Gym Training
5105,2023-01-30,1,Social,Nutrition
5336,2023-09-08,2,Direct,Meditation
